sim0,000000 2 
 21,000000 1262,000000
 43,024937 1261,807791
 65,078064 1262,230615
 87,257321 1264,264991
 109,451209 1264,911216
 131,600638 1264,171072
 153,646620 1262,048285
 176,261543 1264,503797
 198,863223 1265,562592
 221,392550 1265,228764
 244,137908 1265,477963
 267,334413 1267,280694
 290,037728 1265,722995
 313,211420 1265,706714
 336,708074 1266,235923
 360,311768 1266,328758
 384,290035 1266,942915
 408,100137 1266,147497
 432,919654 1267,758336
 458,238031 1269,831447
 482,385173 1267,645345
 508,022043 1268,735800
 533,461820 1268,387513
 559,818226 1269,376193
 569,687732 1232,372822
 570,826359 1179,106431
 572,470903 1130,682910
 572,144467 1081,681920
 574,506973 1040,995212
 575,137396 999,690325
 574,500000 958,690122
 575,696007 923,169183
 577,415227 890,450501
 575,987177 854,605309
 576,278553 823,234310
 577,369143 794,577483
 577,632634 766,139094
 578,882526 740,335118
 580,020620 715,513764
 579,207187 689,328468
 578,296858 664,160532
 580,618352 643,767272
 579,054926 619,782784
 580,238655 599,710035
 580,894647 579,787879
 579,614357 558,614357
 579,927025 539,749554
 583,410997 524,456739
 582,074343 505,193608
 584,013347 489,420036
 583,276621 471,806106
 599,973741 468,843691
 643,528495 486,372566
 642,338427 468,212088
 668,213595 470,228202
 692,704676 470,332678
 718,220599 470,281232
 747,288712 471,657404
 6659,520497 4148,208000
 6659,760744 3988,969890
 6665,146898 3836,000000
 6665,485915 3683,098685
 6671,361269 3536,059811
 9662,581598 4912,631198
 10092,886083 4912,387071
 10565,891102 4917,163475
 11075,813583 4921,920118
 11638,691755 4931,417573
 13290,855327 5361,369565
 13297,447245 5096,350610
 13299,796424 4833,086645
 13302,699431 4573,255866
 13305,357420 4316,349377
 13307,898279 4062,212465
 9063,588774 2592,920606
 9730,486406 2601,649041
 10481,758225 2608,159956
 11362,667554 2618,430273
 12349,572360 2620,518951
 15122,352590 2935,405585
 15124,011700 2663,068453
 16869,975402 2668,615539
 17385,350585 2440,400325
 17388,572561 2132,469771
 17390,324903 1825,589611
 17397,624119 1520,257621
 17399,563320 1215,227529
 8765,998836 458,305969
 8766,669127 305,405496
 8764,668094 152,621294
 8771,000000 0,000000
 8769,667333 -152,708556
 8769,667300 -305,510194
 8771,990613 -458,619985
 12955,415476 -904,462439
 12959,576739 -1131,978787
 12958,735337 -1359,810779
 11297,316829 -1384,557610
 9968,242751 -1397,993799
 8923,035014 -1409,943833
 8048,167995 -1415,406296
 7348,846924 -1424,389150
 6740,874017 -1428,353316
 6215,070502 -1430,013852
 5774,853657 -1434,596841
 5385,752039 -1437,480976
 5046,476146 -1441,032096
 4744,189190 -1444,023850
 4476,699779 -1447,744619
 4233,285254 -1450,406128
 4009,055483 -1451,533488
 3805,735049 -1452,823667
 3620,327723 -1454,222796
 3448,960074 -1455,082722
 3296,974011 -1458,557602
 3145,949250 -1457,187766
 3014,882968 -1460,214290
 2887,367988 -1460,487438
 2769,615857 -1461,464975
 2660,602276 -1463,155434
 2557,588408 -1464,500000
 2457,926636 -1464,253247
 2365,004938 -1464,696846
 2278,701169 -1466,168282
 2192,249403 -1464,526214
 2116,390929 -1467,208524
 2041,924452 -1468,287560
 1969,670645 -1468,428656
 1900,405647 -1468,352619
 1832,527236 -1466,945832
 1771,411553 -1468,769688
 1710,794750 -1468,916166
 1652,946037 -1469,410812
 1597,067227 -1469,706466
 1544,561697 -1471,286429
 1493,903425 -1472,903425
 807,353275 -814,292654
 780,746173 -814,728024
 754,367145 -814,486729
 727,575574 -812,822218
 703,640441 -813,539199
 680,527770 -814,448968
 656,978304 -814,015108
 636,054954 -816,205491
 612,899749 -814,680113
 591,134978 -814,237132
 572,364203 -817,431047
 550,933781 -816,026463
 529,722494 -814,126172
 512,346323 -817,737605
 491,500000 -814,929905
 472,357756 -814,270947
 455,261196 -816,726523
 436,855298 -816,161976
 419,041001 -816,104994
 402,201672 -817,489624
 383,809086 -814,882548
 367,578511 -816,487805
 351,403015 -817,776160
 335,288692 -818,750034
 317,531464 -814,713502
 301,965317 -815,982531
 286,136581 -816,006491
 270,977808 -817,640566
 254,740478 -815,149918
 240,219731 -818,139175
 224,214392 -815,048410
 209,733935 -817,496484
 194,814174 -817,731394
 179,753084 -816,713817
 165,127987 -817,390435
 150,527737 -817,805946
 136,096154 -818,951693
 121,298470 -816,865483
 107,131454 -819,486042
 92,729176 -819,868237
 78,060796 -816,007393
 63,915484 -818,876218
 49,477989 -815,502915
 35,258616 -816,875567
 21,000000 -816,000000
