sim0,000000 2 
 21,000000 1263,000000
 43,024937 1261,807791
 65,147863 1264,229396
 87,100313 1261,269102
 109,241939 1261,918524
 131,600638 1264,171072
 153,646620 1262,048285
 176,383413 1265,496343
 199,002396 1266,552860
 221,236115 1264,241076
 244,485205 1267,447578
 266,571177 1263,354185
 290,037728 1265,722995
 313,211420 1265,706714
 336,949996 1267,206219
 360,052949 1265,362832
 384,565672 1267,904177
 408,684880 1268,060106
 432,301620 1265,856223
 457,586895 1267,940410
 483,411234 1270,464423
 508,380411 1269,669380
 533,836426 1269,314697
 560,208957 1270,296698
 569,687732 1232,372822
 571,248977 1180,012739
 570,717418 1127,087734
 572,144467 1081,681920
 573,568029 1039,229317
 573,198157 996,191846
 576,500000 962,154224
 575,696007 923,169183
 575,295550 887,058309
 575,442538 853,766638
 576,837746 824,063347
 576,795567 793,758331
 578,808204 767,757128
 578,882526 740,335118
 578,789297 713,937743
 580,465828 690,882760
 580,868008 667,224710
 578,650175 641,503143
 581,731448 622,755364
 580,238655 599,710035
 582,283963 581,226559
 583,149891 562,149891
 582,085044 541,833529
 583,410997 524,456739
 583,560633 506,531869
 584,013347 489,420036
 583,276621 471,806106
 601,528033 470,102332
 642,740485 485,756904
 643,137062 468,813903
 668,213595 470,228202
 693,523828 470,906254
 717,391561 469,722039
 745,611371 470,568126
 6659,520497 4148,208000
 6664,903748 3992,060119
 6665,146898 3836,000000
 6665,485915 3683,098685
 6670,478322 3535,590339
 9653,671533 4908,091293
 10096,481259 4914,140556
 10576,766796 4922,234894
 11078,554219 4923,140328
 11623,963678 4925,165875
 13291,782510 5361,744172
 13296,513665 5095,992243
 13296,037654 4831,718565
 13301,753913 4572,930298
 13306,308476 4316,658394
 13306,941975 4061,920094
 9077,046437 2596,779529
 9716,963444 2598,025575
 10486,609704 2609,369566
 11338,308302 2612,806496
 12359,353836 2622,598068
 15120,389336 2935,023967
 15124,996508 2663,242101
 16795,898777 2656,882954
 17385,350585 2440,400325
 17387,580015 2132,347902
 17392,313946 1825,798668
 17395,631729 1520,083309
 17397,568191 1215,088016
 8762,004318 458,096625
 8767,668518 305,440395
 8765,667942 152,638747
 8771,000000 0,000000
 8769,667333 -152,708556
 8770,666691 -305,545094
 8770,991984 -458,567649
 12958,408168 -904,671708
 12957,584349 -1131,804475
 12958,735337 -1359,810779
 11326,100667 -1388,091821
 9982,106503 -1399,942223
 8910,195065 -1407,910185
 8041,274341 -1414,190759
 7328,232754 -1420,382162
 6745,764755 -1429,392874
 6217,019242 -1430,463755
 5776,794248 -1435,080685
 5388,649817 -1438,257434
 5048,398670 -1441,583371
 4749,927018 -1445,778080
 4471,944496 -1446,199534
 4227,612143 -1448,452719
 4006,236405 -1450,507428
 3807,602210 -1453,540403
 3618,473356 -1453,473582
 3449,880579 -1455,473454
 3294,233375 -1457,337392
 3149,574481 -1458,878240
 3011,287792 -1458,460805
 2884,694969 -1459,125466
 2770,498804 -1461,934447
 2657,978417 -1461,701005
 2554,990331 -1463,000000
 2454,497967 -1462,193095
 2364,156890 -1464,166927
 2280,378510 -1467,257560
 2193,078440 -1465,085407
 2113,933473 -1465,487795
 2041,924452 -1468,287560
 1967,274738 -1466,623211
 1901,981669 -1469,583942
 1833,304382 -1467,575152
 1769,879464 -1467,484113
 1712,304169 -1470,228284
 1652,202892 -1468,741681
 1596,335873 -1469,024468
 1543,123018 -1469,897112
 1492,489212 -1471,489212
 805,963959 -812,853974
 779,382176 -813,265316
 753,698014 -813,743584
 729,543751 -815,086347
 706,211592 -816,603376
 679,898449 -813,671822
 658,209627 -815,591130
 636,054954 -816,205491
 613,487534 -815,489130
 593,429283 -817,513740
 570,127431 -814,114896
 550,389142 -815,187792
 530,782332 -815,822269
 510,801209 -815,166103
 491,500000 -814,929905
 474,296995 -817,769426
 454,791724 -815,843576
 435,947317 -814,379963
 418,602630 -815,206200
 401,779054 -816,583316
 383,809086 -814,882548
 367,187780 -815,567300
 351,403015 -817,776160
 334,213588 -815,949293
 318,215505 -816,592887
 301,965317 -815,982531
 286,754615 -817,908604
 270,977808 -817,640566
 255,016115 -816,111180
 239,443274 -815,241397
 224,940158 -817,959297
 209,508984 -816,522114
 195,229997 -819,687689
 180,325511 -819,658698
 165,301636 -818,375243
 150,527737 -817,805946
 135,539462 -814,990621
 121,054731 -814,880390
 107,026925 -818,491520
 92,554865 -817,875847
 78,060796 -816,007393
 63,863148 -817,877589
 49,512889 -816,502306
 35,258616 -816,875567
 21,000000 -818,000000
